iter	Passed	Remaining
302	3639	1197418
303	3649	1196982
304	3660	1196613
305	3671	1196170
306	3684	1196436
307	3697	1196912
308	3711	1197385
309	3719	1196155
310	3733	1196628
311	3745	1196774
312	3754	1195676
313	3767	1195997
314	3779	1196110
315	3789	1195348
316	3800	1195224
317	3812	1195069
318	3822	1194298
319	3833	1194269
320	3844	1193720
321	3853	1192833
322	3865	1193037
323	3882	1194483
324	3897	1195199
325	3909	1195349
326	3917	1194010
327	3930	1194538
328	3943	1194582
329	3951	1193375
330	3965	1193949
331	3976	1193896
332	3986	1193206
333	3997	1192853
334	4009	1192851
335	4023	1193446
336	4032	1192429
337	4043	1192293
338	4057	1192902
339	4070	1193183
340	4079	1192178
341	4093	1192702
342	4104	1192617
343	4112	1191386
344	4125	1191593
345	4137	1191773
346	4146	1190758
347	4159	1191069
348	4172	1191461
349	4183	1191029
350	4193	1190516
351	4205	1190505
352	4216	1190195
353	4225	1189501
354	4237	1189450
355	4251	1189932
356	4259	1188962
357	4271	1188849
358	4282	1188522
359	4292	1188001
360	4302	1187563
361	4313	1187149
362	4324	1186944
363	4340	1188239
364	4354	1188566
365	4367	1188841
366	4375	1187991
367	4388	1188057
368	4401	1188460
369	4414	1188610
370	4422	1187701
371	4437	1188476
372	4450	1188817
373	4463	1189118
374	4471	1188053
375	4484	1188314
376	4498	1188830
377	4509	1188373
378	4522	1188702
379	4530	1187827
380	4545	1188511
381	4558	1188784
382	4566	1187836
383	4580	1188254
384	4592	1188204
385	4600	1187187
386	4613	1187601
387	4625	1187612
388	4633	1186581
389	4647	1186988
390	4660	1187192
391	4670	1186809
392	4681	1186551
393	4694	1186715
394	4708	1187232
395	4719	1187188
396	4728	1186293
397	4741	1186510
398	4752	1186367
399	4760	1185454
400	4773	1185662
401	4789	1186713
402	4799	1186254
403	4811	1186210
404	4823	1186255
405	4837	1186637
406	4849	1186729
407	4858	1185933
408	4872	1186455
409	4884	1186512
410	4896	1186377
411	4907	1186351
412	4920	1186436
413	4931	1186199
414	4942	1186092
415	4953	1185897
416	4967	1186327
417	4980	1186467
418	4987	1185273
419	5001	1185854
420	5014	1185967
421	5023	1185306
422	5035	1185452
423	5050	1186150
424	5059	1185451
425	5071	1185304
